대여소명,자치구,lat,long,LCD거치대수,text
삼부아파트1동 앞,영등포구,37.523491,126.932899,10.0,삼부아파트1동 앞 (영등포구)<br>거치대 수: 10.0
NH농협은행 앞,영등포구,37.522079,126.930367,10.0,NH농협은행 앞 (영등포구)<br>거치대 수: 10.0
증권거래소 앞,영등포구,37.523277,126.929237,20.0,증권거래소 앞 (영등포구)<br>거치대 수: 20.0
롯데캐슬엠파이어 옆,영등포구,37.520695,126.925835,12.0,롯데캐슬엠파이어 옆 (영등포구)<br>거치대 수: 12.0
미성아파트 A동 앞,영등포구,37.519363,126.926048,30.0,미성아파트 A동 앞 (영등포구)<br>거치대 수: 30.0
여의도초교 앞,영등포구,37.522675,126.93779,10.0,여의도초교 앞 (영등포구)<br>거치대 수: 10.0
시범아파트버스정류장 옆,영등포구,37.519436,126.937599,12.0,시범아파트버스정류장 옆 (영등포구)<br>거치대 수: 12.0
진주아파트상가 앞,영등포구,37.519314,126.933167,20.0,진주아파트상가 앞 (영등포구)<br>거치대 수: 20.0
롯데캐슬 앞,영등포구,37.520088,126.932365,20.0,롯데캐슬 앞 (영등포구)<br>거치대 수: 20.0
앙카라공원 앞,영등포구,37.517368,126.929253,26.0,앙카라공원 앞 (영등포구)<br>거치대 수: 26.0
샛강역 1번출구 앞,영등포구,37.517765,126.928413,20.0,샛강역 1번출구 앞 (영등포구)<br>거치대 수: 20.0
양평2나들목 보행통로 입구,영등포구,37.544666,126.888359,10.0,양평2나들목 보행통로 입구 (영등포구)<br>거치대 수: 10.0
선유도역 3번출구 앞,영등포구,37.53846,126.894508,10.0,선유도역 3번출구 앞 (영등포구)<br>거치대 수: 10.0
양평1 보행육교 앞,영등포구,37.535873,126.892181,20.0,양평1 보행육교 앞 (영등포구)<br>거치대 수: 20.0
영등포구청역 1번출구,영등포구,37.524635,126.896217,10.0,영등포구청역 1번출구 (영등포구)<br>거치대 수: 10.0
남부고용노동지청 남측,영등포구,37.524506,126.891823,10.0,남부고용노동지청 남측 (영등포구)<br>거치대 수: 10.0
양평우림 이비즈센타 앞,영등포구,37.52565,126.887817,20.0,양평우림 이비즈센타 앞 (영등포구)<br>거치대 수: 20.0
YP 센터 앞,영등포구,37.528488,126.891647,10.0,YP 센터 앞 (영등포구)<br>거치대 수: 10.0
영등포구민체육센터 앞,영등포구,37.500462,126.905846,10.0,영등포구민체육센터 앞 (영등포구)<br>거치대 수: 10.0
신길동 우리은행 옆,영등포구,37.504566,126.910233,10.0,신길동 우리은행 옆 (영등포구)<br>거치대 수: 10.0
문래동자이아파트 앞,영등포구,37.516155,126.894615,10.0,문래동자이아파트 앞 (영등포구)<br>거치대 수: 10.0
제2구민체육센타 앞,영등포구,37.526386,126.902756,10.0,제2구민체육센타 앞 (영등포구)<br>거치대 수: 10.0
유스호스텔 앞,영등포구,37.525852,126.903282,20.0,유스호스텔 앞 (영등포구)<br>거치대 수: 20.0
문래역 4번출구 앞,영등포구,37.518738,126.895576,10.0,문래역 4번출구 앞 (영등포구)<br>거치대 수: 10.0
신길우성1차아파트 앞 공원,영등포구,37.505329,126.898483,10.0,신길우성1차아파트 앞 공원 (영등포구)<br>거치대 수: 10.0
신길선원가와인아파트 앞,영등포구,37.510933,126.910225,15.0,신길선원가와인아파트 앞 (영등포구)<br>거치대 수: 15.0
이앤씨드림타워 앞,영등포구,37.527084,126.89138,15.0,이앤씨드림타워 앞 (영등포구)<br>거치대 수: 15.0
영등포삼환아파트 앞,영등포구,37.530079,126.905708,20.0,영등포삼환아파트 앞 (영등포구)<br>거치대 수: 20.0
삼성생명 당산사옥 앞,영등포구,37.528263,126.896629,10.0,삼성생명 당산사옥 앞 (영등포구)<br>거치대 수: 10.0
당산역 10번출구 앞,영등포구,37.533688,126.902107,15.0,당산역 10번출구 앞 (영등포구)<br>거치대 수: 15.0
초원아파트 앞,영등포구,37.531055,126.92421,10.0,초원아파트 앞 (영등포구)<br>거치대 수: 10.0
여의도중학교 옆,영등포구,37.52412,126.936546,8.0,여의도중학교 옆 (영등포구)<br>거치대 수: 8.0
대림아파트 사거리,영등포구,37.507641,126.92308,10.0,대림아파트 사거리 (영등포구)<br>거치대 수: 10.0
서울지방병무청 버스정류장,영등포구,37.504494,126.921951,10.0,서울지방병무청 버스정류장 (영등포구)<br>거치대 수: 10.0
보라매역4번출구,영등포구,37.499828,126.919945,10.0,보라매역4번출구 (영등포구)<br>거치대 수: 10.0
신풍역 5번출구 인근,영등포구,37.500648,126.909515,10.0,신풍역 5번출구 인근 (영등포구)<br>거치대 수: 10.0
도림신협 앞,영등포구,37.503803,126.903419,10.0,도림신협 앞 (영등포구)<br>거치대 수: 10.0
도림4거리,영등포구,37.506573,126.901131,10.0,도림4거리 (영등포구)<br>거치대 수: 10.0
동아에코빌입구,영등포구,37.509476,126.8993,10.0,동아에코빌입구 (영등포구)<br>거치대 수: 10.0
신길삼거리(우리은행),영등포구,37.513844,126.919357,10.0,신길삼거리(우리은행) (영등포구)<br>거치대 수: 10.0
신길역3번출구,영등포구,37.517693,126.914299,14.0,신길역3번출구 (영등포구)<br>거치대 수: 14.0
대방역6번출구,영등포구,37.513592,126.925934,17.0,대방역6번출구 (영등포구)<br>거치대 수: 17.0
여의도 마리나선착장 앞,영등포구,37.53368,126.912086,15.0,여의도 마리나선착장 앞 (영등포구)<br>거치대 수: 15.0
영문초등학교 사거리,영등포구,37.519928,126.889183,12.0,영문초등학교 사거리 (영등포구)<br>거치대 수: 12.0
근로자회관 사거리,영등포구,37.517151,126.888626,12.0,근로자회관 사거리 (영등포구)<br>거치대 수: 12.0
교보생명보험 앞,영등포구,37.521931,126.891617,15.0,교보생명보험 앞 (영등포구)<br>거치대 수: 15.0
영등포유통상가 사거리,영등포구,37.521133,126.896538,15.0,영등포유통상가 사거리 (영등포구)<br>거치대 수: 15.0
영등포청과시장 사거리,영등포구,37.520294,126.901192,10.0,영등포청과시장 사거리 (영등포구)<br>거치대 수: 10.0
삼성화재 사옥 옆,영등포구,37.535961,126.8983,10.0,삼성화재 사옥 옆 (영등포구)<br>거치대 수: 10.0
그랜드컨벤션센터 앞,영등포구,37.534718,126.900002,6.0,그랜드컨벤션센터 앞 (영등포구)<br>거치대 수: 6.0
증권거래소후문교차로,영등포구,37.522343,126.927101,10.0,증권거래소후문교차로 (영등포구)<br>거치대 수: 10.0
샛강생태공원방문자센터 앞,영등포구,37.518963,126.921616,10.0,샛강생태공원방문자센터 앞 (영등포구)<br>거치대 수: 10.0
당산육갑문,영등포구,37.535339,126.903679,20.0,당산육갑문 (영등포구)<br>거치대 수: 20.0
영등포역지하쇼핑센타 5번출구,영등포구,37.516651,126.90799,10.0,영등포역지하쇼핑센타 5번출구 (영등포구)<br>거치대 수: 10.0
신동아아파트,영등포구,37.522816,126.885651,10.0,신동아아파트 (영등포구)<br>거치대 수: 10.0
SK 영등포주유소,영등포구,37.518284,126.912636,10.0,SK 영등포주유소 (영등포구)<br>거치대 수: 10.0
영등포뉴타운지하상가 2번게이트,영등포구,37.520119,126.905167,10.0,영등포뉴타운지하상가 2번게이트 (영등포구)<br>거치대 수: 10.0
쌍용플레티넘오피스텔,영등포구,37.507931,126.895233,10.0,쌍용플레티넘오피스텔 (영등포구)<br>거치대 수: 10.0
영등포 푸르지오 아파트,영등포구,37.513229,126.904465,15.0,영등포 푸르지오 아파트 (영등포구)<br>거치대 수: 15.0
양평동6차현대아파트 앞,영등포구,37.532101,126.89444,10.0,양평동6차현대아파트 앞 (영등포구)<br>거치대 수: 10.0
신동아아파트 앞,영등포구,37.498241,126.893982,8.0,신동아아파트 앞 (영등포구)<br>거치대 수: 8.0
신한은행,영등포구,37.48753,126.904877,10.0,신한은행 (영등포구)<br>거치대 수: 10.0
아크로타워 스퀘어(영등포시장),영등포구,37.522518,126.907219,15.0,아크로타워 스퀘어(영등포시장) (영등포구)<br>거치대 수: 15.0
센트럴 푸르지오 시티 앞,영등포구,37.518211,126.902229,12.0,센트럴 푸르지오 시티 앞 (영등포구)<br>거치대 수: 12.0
대림3동사거리(하나은행),영등포구,37.499859,126.89724,8.0,대림3동사거리(하나은행) (영등포구)<br>거치대 수: 8.0
우성아파트 교차로,영등포구,37.494572,126.89975,8.0,우성아파트 교차로 (영등포구)<br>거치대 수: 8.0
영등포전화국사거리 (서강어린이공원),영등포구,37.525768,126.905739,10.0,영등포전화국사거리 (서강어린이공원) (영등포구)<br>거치대 수: 10.0
쌍용예가(구청별관),영등포구,37.528099,126.893387,10.0,쌍용예가(구청별관) (영등포구)<br>거치대 수: 10.0
대림3동사거리,영등포구,37.499809,126.898003,10.0,대림3동사거리 (영등포구)<br>거치대 수: 10.0
당산동 SK V1 빌딩,영등포구,37.531509,126.897827,12.0,당산동 SK V1 빌딩 (영등포구)<br>거치대 수: 12.0
문래동 하이테크 시티,영등포구,37.513851,126.89888,14.0,문래동 하이테크 시티 (영등포구)<br>거치대 수: 14.0
