col_1,행정동,유흥업소 수,초등학교 수,"중,고등학교 수",요리 주점,입시·교과학원,등록인구_scaled,여성비율_scaled,외국인비율_scaled,고령자 비율_scaled,총점,치안기관,어린이용 CCTV 수,안전비상벨 수,기타 CCTV 수,시설물 CCTV 수,쓰레기단속 CCTV 수,가로등 수_scaled,보안등 수_scaled,생활방범 CCTV 수_scaled,총점,순위험도
북구,동천동,3.736263736,6,0,6.842105263,3.175182482,0.471041381,6.611589499,0.083847164,1.565717762,3.131540744,2.5,3.859649123,0.833333333,0,1.666666667,0.967741935,2.586956522,3.979739508,0.995024876,1.994892754,1.13664799
북구,국우동,0,8,7.142857143,1.315789474,0.98540146,0.529238978,5.714427503,0.165113913,1.484247936,2.068298892,2.5,5.789473684,0,0,2.575757576,1.290322581,5.391304348,2.416787265,1.194029851,2.613614532,-0.54531564
수성구,소계,0,0,0,0,0,7.54133477,6.849262088,0.192205758,4.064135266,3.674298856,0,0,0,0,0,0,0,0,0,0,3.674298856
수성구,범어1동,0.659340659,2,1.428571429,2.807017544,1.569343066,0.267991138,7.659217945,0.156837181,3.086837594,1.911945837,5,3.157894737,0,7.441860465,0.151515152,0,1.199275362,0.22431259,1.492537313,1.880213382,0.031732454
수성구,범어2동,0.43956044,2,0,0.350877193,2.810218978,0.246991628,6.827235359,0.545842898,3.473903439,1.544641872,0,4.035087719,1.111111111,1.279069767,0,0,0.65942029,0.426917511,1.815920398,1.307186661,0.237455211
수성구,범어3동,1.538461538,4,0,3.333333333,1.423357664,0.282925345,7.147397566,0.26278345,1.545865951,2.111074982,0,1.578947368,0,1.511627907,0,0,0.735507246,0,0.945273632,0.681596929,1.429478053
수성구,범어4동,0,2,8.571428571,1.052631579,10,0.333903215,5.995309873,0.058955158,1.480781875,1.780204127,0,1.578947368,0,3.139534884,0,0,0.56884058,0.282199711,1.368159204,0.892943129,0.887260998
수성구,만촌1동,0.10989011,4,4.285714286,1.140350877,1.094890511,0.377074984,6.456324739,0.127907561,4.787988233,1.898113044,2.5,2.631578947,1.111111111,0.581395349,2.878787879,0,2.528985507,1.534008683,2.562189055,2.212505208,-0.314392164
수성구,만촌2동,0.10989011,4,0,0.438596491,1.350364964,0.168270949,5.530788221,0.521293896,4.706934369,1.527166613,2.5,3.333333333,0,0.813953488,1.363636364,1.290322581,1.079710145,0.347322721,2.089552239,1.682473212,-0.1553066
수성구,만촌3동,0,2,10,0.701754386,2.700729927,0.323733295,2.738537119,0.498415913,2.168051905,1.231623063,0,4.912280702,0,0.348837209,0.454545455,1.290322581,2.826086957,1.295224313,2.164179104,1.97065705,-0.739033987
수성구,수성1가동,0.32967033,2,2.857142857,0.964912281,0.98540146,0.288715786,9.565956169,0.075643456,5.468610526,2.088095337,0,1.754385965,0,0.23255814,0.151515152,0,0.293478261,0.0723589,1.069651741,0.625241615,1.462853723
수성구,수성2·3가동,0.10989011,0,0,0,0,0.178862325,6.59355022,0.13845504,4.15386405,1.167556823,0,0,0,0,0,0,0,0,0,0,1.167556823
수성구,수성4가동,0.10989011,0,2.857142857,2.631578947,0.437956204,0.225845523,8.627324679,0.101825277,5.452777821,1.879786281,0,1.403508772,0,0.11627907,0,0,0.637681159,0.369030391,0.7960199,0.575294653,1.304491628
수성구,황금1동,0,2,0,0.175438596,1.313868613,0.391899246,7.33175891,0,2.781730225,1.444737847,2.5,1.754385965,0,0.11627907,0,0,0.934782609,1.649782923,0.696517413,1.007110016,0.437627831
수성구,황금2동,5.714285714,2,2.857142857,3.333333333,0.510948905,0.192330598,6.891023577,0.374323755,4.495921058,2.971749411,0,1.929824561,0,1.976744186,0,4.193548387,0.56884058,0.354558611,2.562189055,1.474407494,1.497341917
수성구,중동,1.318681319,2,0,1.228070175,0.437956204,0.201309446,5.58382586,0.367477318,4.363655788,1.630991734,0,1.929824561,0,4.76744186,0,0,0.880434783,0.586107091,1.71641791,1.201515369,0.429476365
수성구,상동,0,2,1.428571429,1.666666667,0.875912409,0.260863032,6.523794696,0.514014096,6.0490063,1.721060699,0,4.210526316,0,0,1.363636364,1.935483871,1.365942029,2.098408104,2.139303483,1.757484036,-0.036423337
수성구,파동,0,2,1.428571429,0.789473684,0.437956204,0.191615954,7.337037071,0.05873177,6.89284575,1.744210908,2.5,1.929824561,0,0.930232558,0,0,1.007246377,2.329956585,1.766169154,1.512650969,0.231559939
수성구,두산동,3.516483516,2,0,10,0.364963504,0.241237835,6.473488541,0.618198517,3.129057119,2.984483066,2.5,4.561403509,1.666666667,2.790697674,9.242424242,4.516129032,1.239130435,1.599131693,1.890547264,2.496091912,0.488391154
